docid,sentences,words,syllables,letters,unique,ttr,flesch-adap,coleman,flesch-gradelevel,ari,awl,awlstd,psfl,zh,wiki,brescola
netb-1007e4,35,765,1539,3781,332,0.4339869281,54.29075066,11.90755556,16.89686017,12.77766947,4.94248366,3.164234211,d,d,s,s
netb-100800,6,58,120,288,50,0.8620689655,63.98885057,10.33517241,12.5937931,6.79091954,4.965517241,2.697160175,s,s,s,d
netb-10083c,21,315,703,1683,181,0.5746031746,43.69452609,13.64266667,16.72573254,11.23485714,5.342857143,3.360353075,d,d,s,s
netb-1009a9,11,296,694,1551,143,0.4831081081,22.58946071,13.91040541,22.62909091,16.70430897,5.239864865,3.860738619,d,d,s,s
netb-1009aa,10,210,442,1058,102,0.4857142857,45.62164634,12.41447619,17.84695122,12.79942857,5.038095238,3.666901662,s,d,s,s
netb-100a34,16,164,331,757,104,0.6341463415,67.68368902,8.453414634,12.22335366,5.435670732,4.615853659,2.816327375,s,s,s,s
netb-100a37,5,113,213,517,70,0.6194690265,62.68863636,9.792566372,15.83909091,11.41929204,4.575221239,3.04190587,s,d,s,s
netb-100a41,39,200,407,924,114,0.57,71.46887179,5.5936,10.423,2.894302564,4.62,2.974155342,s,d,s,s
netb-100a42,14,205,402,914,124,0.6048780488,67.33323529,8.394731707,13.34579832,6.891135889,4.458536585,2.61785386,s,s,s,s
netb-100a44,21,242,459,1082,146,0.6033057851,75.4375,7.921322314,11.43464286,5.390665092,4.47107438,2.514665678,s,s,s,s
netb-100a46,7,120,231,565,88,0.7333333333,64.83923077,10.15833333,14.22600733,9.317678571,4.708333333,2.703071812,s,s,s,s
netb-100a49,22,482,1134,2683,252,0.5228215768,27.55909845,15.5793361,20.71637118,15.74224255,5.566390041,3.544142359,d,d,d,s
netb-100a4d,2,75,156,388,52,0.6933333333,32.93405405,13.82986667,23.71567568,21.6864,5.173333333,2.936543698,s,d,s,s
netb-100a4f,6,91,176,452,65,0.7142857143,66.48029026,11.45450549,13.52983146,9.548058608,4.967032967,3.456004647,s,d,s,s
netb-100a95,11,83,141,363,57,0.686746988,90.55051784,5.993253012,8.271668585,2.941883899,4.373493976,2.311369715,s,s,d,s
netb-100a96,6,107,208,474,68,0.6355140187,64.89578616,8.588037383,14.45471698,8.35152648,4.429906542,2.751761202,s,d,s,s
netb-100acb,10,194,408,972,127,0.6546391753,47.88263158,12.13484536,17.15894737,11.8685567,5.010309278,3.197920862,d,d,s,s
netb-1023,11,251,588,1346,123,0.4900398406,26.08077766,14.43458167,21.10324206,15.23670047,5.362549801,3.742726262,d,d,s,s
netb-103b38,7,68,142,357,49,0.7205882353,59.81850746,12.02294118,13.15181237,8.154642857,5.25,2.977242111,s,d,d,d
netb-103b56,12,149,309,719,101,0.677852349,58.56859694,10.19006711,13.99158163,7.506454139,4.825503356,2.646338597,s,d,s,d
